ISO3,ID,add_or_remove,acaps_category,acaps_measure,acaps_comments,source,start_date,end_date,affected_pcodes,compliance_level,can_be_modelled,final_input,npis_linked,OCHA_comments
COD,10483.0,add,Public health measures,Requirement to wear protective gear in public,Mandatory use of face mask in Lubumbashi (Haut-Katanga Province).|admin level name: Lubumbashi|targeted pop group: No|non compliance: Not available,GardaWorld|source type: Media|link: https://www.garda.com/crisis24/news-alerts/338756/drc-face-mask-use-compulsory-in-public-from-may-4-in-lubumbashi-update-12|,1588550400000000000,,,,,,,
COD,11515.0,add,Lockdown,Partial lockdown,Matadi will be under partial lockdown from the 22nd to the 25th of May.|admin level name: Matadi|targeted pop group: No|non compliance: Not applicable, Infobascongo|source type: Media|link: http://www.infobascongo.net/beta/?p=26697|,1590105600000000000,,,,,,,
COD,12062.0,add,Public health measures,Isolation and quarantine policies,"The city of Goma will be under confinement for 14 days, effective May 20.|admin level name: Goma|targeted pop group: No|non compliance: Not available",US Embassy|source type: Government|link: https://cd.usembassy.gov/covid-19-information/|,1589932800000000000,,,,,,,
COD,12063.0,add,Movement restrictions,Curfews,A curfew will be enforced within the city of Goma between 8 pm and 5 am. Movements within the city between 5 am and 8 pm appear to be permitted.|admin level name: Goma|targeted pop group: No|non compliance: Not available,US Embassy|source type: Government|link: https://cd.usembassy.gov/covid-19-information/|,1589932800000000000,,,,,,,
COD,12064.0,add,Movement restrictions,Domestic travel restrictions,Travel in and out of Goma at city limits will be restricted for 14 days. Movements within the city between 5 am and 8 pm appear to be permitted.|admin level name: Goma|targeted pop group: No|non compliance: Not available,US Embassy|source type: Government|link: https://cd.usembassy.gov/covid-19-information/|,1589932800000000000,,,,,,,
COD,15228.0,remove,Social distancing,Closure of businesses and public services,"Reopening of stores, banks, public establishments, private industry, restaurants, cafes, and more with limitations in place||targeted pop group: No|non compliance: Not applicable",Government — Congo DR|source type: Government|link: https://www.stopcoronavirusrdc.info/mesures-de-protection-contre-le-coronavirus|,1593388800000000000,,,,,,,
COD,15229.0,add,Social distancing,Closure of businesses and public services,"Certain public places remain closed: Central Market, discotechques, bars, schools, churches, stadiums, and all trade and catering. ||targeted pop group: Yes|non compliance: Not available",Government — Congo DR|source type: Government|link: https://www.stopcoronavirusrdc.info/mesures-de-protection-contre-le-coronavirus|,1593388800000000000,,,,,,,
,,,,,,,2020-03-25,,"['CD7101', 'CD6109', 'CD6101', 'CD10']",50.0,,,12064 - 7009 - 2705,
,,,,,,,2020-04-22,,"['CD6101', 'CD72', 'CD7101']",50.0,,,12063 - 7006,
,,,,,,,2020-04-20,,"['CD7101', 'CD20', 'CD62', 'CD10']",50.0,,,10483 - 10482 - 7007 - 7002,
,,,,,,,2020-04-18,,['CD'],50.0,,,8327,
,,,,,,,2020-04-18,,['CD'],100.0,,,,
